id,İl,İlçe,Mahalle,mahalleid,Ada,Parsel,tapuzeminref,tapualan,Toplam Alan(m2),Toki Hissesi(m2),İmar Durumu,Açıklama,Satış Birim Bedeli,Muhammen Bedel,Satış Bedeli,parselgeom
1,TEKİRDAĞ,SÜLEYMANPAŞA,KARACAKILAVUZ,164647,240,9,140203904,942.96,942.96,942.96,KONUT ALANI,"Ayrık Nizam - 3 Kat
18.Madde Uygulamasına tabidir.",2500,2357400,,"POLYGON ((27.34555528486 41.128984091846, 27.345957993252 41.128703431214, 27.345969963315 41.129013023575, 27.345958458565 41.129094459369, 27.345952657853 41.129110913513, 27.345799825498 41.129055186983, 27.345725779308 41.129082059236, 27.345602569276 41.129111164773, 27.345522556207 41.129151302214, 27.345483838954 41.129142993889, 27.34560847 41.129035189985, 27.34555528486 41.128984091846))"
2,TEKİRDAĞ,SÜLEYMANPAŞA,KARACAKILAVUZ,164647,260,65,140549154,520.53,520.53,520.53,KONUT ALANI,Bitişik Nizam - 3 Kat,5500,2862915,2862915,"POLYGON ((27.3569958937665 41.1299650559135, 27.3570953353364 41.1298455471017, 27.3571465126885 41.1298344581292, 27.3573716720954 41.1299188292768, 27.3571732350105 41.1300998509438, 27.357005396434 41.1300041805505, 27.3569958937665 41.1299650559135))"
3,TEKİRDAĞ,SÜLEYMANPAŞA,KUMBAĞ,164660,380,4,140181505,438.39,438.39,438.39,KONUT ALANI,"Bitişik Nizam, 4 Kat",9250,4055107.5,6500000,"POLYGON ((27.458759382867 40.865154955589, 27.459054571784 40.865204668893, 27.459083164986 40.865193456132, 27.459074455816 40.865333881887, 27.459026562651 40.865365913606, 27.459015415015 40.865359796974, 27.458934848981 40.865318191288, 27.458755036816 40.865227671335, 27.458679627265 40.865189872653, 27.458686513182 40.865083683439, 27.458759382867 40.865154955589))"
4,BİLECİK,BOZÜYÜK,ÇARŞI,41701,85,760,140552768,1533.73,1533.73,1533.73,KONUT ALANI,"Bitişik Nizam, Hmax: 2 Kat",4500,6901785,,"POLYGON ((30.0357239645834 39.8921758505713, 30.0359414462346 39.8925338037453, 30.0359423550252 39.8925351129802, 30.0357170626362 39.8926815715789, 30.0357158289889 39.8926823445874, 30.0353038970689 39.8925751148736, 30.0357239645834 39.8921758505713))"
5,BİLECİK,BOZÜYÜK,TEKKE,41748,338,197,140538536,850.5,850.5,850.5,KONUT ALANI,"Ayrık nizam 2 kat, Taks: 0.40, Kaks:0.80",5500,4677750,,"POLYGON ((30.031542930827 39.9113239641977, 30.0315515273182 39.9113514277617, 30.0314513792942 39.9115182765732, 30.0312847688621 39.9114495649382, 30.0310886573398 39.9113590091344, 30.031243767729 39.9111660883268, 30.031274485388 39.9111618873047, 30.031542930827 39.9113239641977))"
6,BİLECİK,BOZÜYÜK,TEKKE,41748,338,198,140535700,266.07,266.07,266.07,KONUT ALANI,Bitişik nizam 2 kat ,5600,1489992,,"POLYGON ((30.0343719063051 39.9112442296885, 30.0341095012178 39.9111674357802, 30.0341761355573 39.9110733374297, 30.034370957574 39.9111372490833, 30.0344221620883 39.9111544812589, 30.0343719063051 39.9112442296885))"
7,BİLECİK,BOZÜYÜK,YENİ,41805,294,396,140552380,487.22,487.22,487.22,KONUT ALANI,"Ayrık Nizam, 2 kat, Hmax: (6,50m) Taks:0.40, Kaks:0.80",6500,3166930,,"POLYGON ((30.0479031993509 39.9080179577196, 30.0479252720667 39.9080010061914, 30.0483226000591 39.9080186034945, 30.0483469479943 39.9080376339544, 30.0483485112721 39.9080713443934, 30.0482514542534 39.9080900669488, 30.0481341647426 39.9081295896831, 30.0480478638866 39.9081587590282, 30.0479159617009 39.9081700939945, 30.0479139346702 39.9081690126827, 30.0479031993509 39.9080179577196))"
8,BİLECİK,GÖLPAZARI,İSTİKLAL,41393,27,171,140534773,655.84,655.84,655.84,KONUT ALANI, Ayrık Nizam 3 kat Hmax: 9.50 m. Taks: 0.30 Kaks: 0.90,6000,3935040,,"POLYGON ((30.31133152437 40.2791523631868, 30.3113110846225 40.2789165445435, 30.3113440213404 40.278889324057, 30.3113802485825 40.2788890541769, 30.311722975427 40.2791724158797, 30.311699236475 40.2791861787587, 30.311604017041 40.2791905421217, 30.311369084304 40.2791807839837, 30.31133152437 40.2791523631868))"
9,ÇANAKKALE,AYVACIK,HAMDİBEY,157332,587,1,140729811,618.79,618.79,618.79,KONUT ALANI,"E:1,40, Taks:0,35 4 kat
18.Madde uygulamasına tabidir.",,5000000,,"POLYGON ((26.3943003029171 39.6089490998746, 26.3945024463566 39.6089552879975, 26.3945221749103 39.608968768244, 26.394263444053 39.6095190650717, 26.3943003029171 39.6089490998746))"
10,ÇANAKKALE,BAYRAMİÇ,AĞAÇKÖY,38240,0,2570,140731549,1124.67,1124.67,1124.67,GELİŞME KONUT ALANI,"Ayrık Nizam, 3 Kat, TAKS: 0,35 ve KAKS (Emsal): 1,05
18.Madde uygulamasına tabidir.",4200,4723614,,"POLYGON ((26.5986997311585 39.8148753201498, 26.5989663904374 39.8148388112742, 26.5990002130564 39.8148582079036, 26.5990443163527 39.8151494820486, 26.5989425746394 39.8152573148371, 26.5987592645222 39.8152854593143, 26.5986997311585 39.8148753201498))"
11,ÇANAKKALE,BAYRAMİÇ,CAMİKEBİR,151755,16,17,140731703,1094.1,1094.1,1094.1,PLANSIZ ALAN,,2000,2188200,2188200,"POLYGON ((26.6123651698588 39.8170811657278, 26.612369127894 39.8168881481676, 26.612633717001 39.8169994408962, 26.6138110879715 39.8171300569607, 26.6124082437885 39.8171153773982, 26.6123651698588 39.8170811657278))"
12,ÇANAKKALE,BAYRAMİÇ,CAMİKEBİR,151755,16,18,140744527,172.19,172.19,172.19,PLANSIZ ALAN,,2300,396037,880000,"POLYGON ((26.612076390314 39.81711186169, 26.6122521823473 39.8168949380557, 26.6122485461475 39.8170720267419, 26.612193916828 39.8171147850025, 26.6120716746765 39.8171176799137, 26.612076390314 39.81711186169))"
13,ÇANAKKALE,BAYRAMİÇ,TEPECİK,38198,252,160,140731617,321.59,321.59,321.59,KONUT ALANI,"3 kat, TAKS: 0,35 ve KAKS (Emsal): 1,05
18.Madde uygulamasına tabidir.",6000,1929540,2500000,"POLYGON ((26.6179523700713 39.8122064128664, 26.6181709930038 39.812217832339, 26.6182367433958 39.8122212490797, 26.6182177740524 39.8123516629148, 26.6179281286149 39.8123072578814, 26.6179523700713 39.8122064128664))"
14,ÇANAKKALE,BAYRAMİÇ,TEPECİK,38198,497,127,140730660,478.52,478.52,478.52,KONUT ALANI,"3 kat, TAKS: 0,35 ve KAKS (Emsal): 1,05
18.Madde uygulamasına tabidir.",6000,2871120,,"POLYGON ((26.618805709665 39.8129123545179, 26.6188270784264 39.8128924482514, 26.6189895360108 39.8129445806013, 26.6189533232656 39.813082635349, 26.6189338275963 39.8131569589349, 26.6186883753957 39.8131174279195, 26.6186906036917 39.8131092297418, 26.618805709665 39.8129123545179))"
15,ÇANAKKALE,BAYRAMİÇ,TEPECİK,38198,497,128,140731185,53.32,53.32,53.32,KONUT ALANI,"3 kat, TAKS: 0,35 ve KAKS (Emsal): 1,05
18.Madde uygulamasına tabidir.",7000,373240,373240,"POLYGON ((26.6189013424375 39.8132808021443, 26.6190951623504 39.8133127323678, 26.6190841939417 39.8133370868648, 26.6190784455878 39.8133399357, 26.6188941240077 39.81330832091, 26.6189013424375 39.8132808021443))"
16,ÇANAKKALE,BİGA,YENİCEKÖY,205453,1004,9,140729902,598.61,598.61,598.61,KONUT ALANI,"TAKS: 0,35, KAKS (Emsal): 1,05 ve Hmaks: 3 Kat
Parselin yapılaşmaya konu edilebilmesi için bitişiğindeki 8 no.lu parsel ile tevhit edilmesi gerekmektedir.",12150,7273111.5,,"POLYGON ((27.2605748626755 40.2205554648739, 27.2605694369655 40.2205709615582, 27.2600360161561 40.2208830700762, 27.2600151007598 40.2208779802174, 27.2599496996436 40.220718251974, 27.2605748626755 40.2205554648739))"
17,ÇANAKKALE,ÇAN,ATATÜRK,151597,209,488,140745085,513.34,513.34,513.34,KONUT ALANI,"TAKS: 0,40, KAKS (Emsal): 0,80, Ayrık Nizam, 2 Kat
18.Madde uygulamasına tabidir.",3000,1540020,1540020,"POLYGON ((27.0482680615326 40.0391652478884, 27.0486757694403 40.039169765199, 27.0486577277613 40.0393490704396, 27.0486434729803 40.0393491492072, 27.0484544548822 40.0392982687773, 27.0483252276732 40.039262870226, 27.0482444737056 40.0392343547728, 27.0482680615326 40.0391652478884))"
18,ÇANAKKALE,ÇAN,BÜYÜKTEPE,134808,124,3,140742175,846.2,846.2,846.2,GELİŞME KONUT ALANI,"TAKS: 0,35, KAKS (Emsal): 0,70, Ayrık Nizam, 2 Kat
18.Madde uygulamasına tabidir.",2300,1946260,,"POLYGON ((27.05017540532 40.0092451131593, 27.0506429447681 40.0092090480412, 27.0506765954881 40.0093473994848, 27.0510090056034 40.0093686395168, 27.0510101618361 40.0093707122949, 27.0505233947529 40.0094298185048, 27.0504647460377 40.009363990254, 27.0501438641739 40.009356523496, 27.05017540532 40.0092451131593))"
19,ÇANAKKALE,ÇAN,BÜYÜKTEPE,134808,171,1,140733294,209.26,209.26,209.26,GELİŞME KONUT ALANI,"TAKS: 0,35, KAKS (Emsal): 0,70, Ayrık Nizam, 2 Kat
18.Madde uygulamasına tabidir.",2600,544076,544076,"POLYGON ((27.0501937433567 40.0091803389677, 27.0501972038964 40.0091681155263, 27.0503820488466 40.0090484319331, 27.050542793638 40.0091447060692, 27.0505345285983 40.0091540515425, 27.0501937433567 40.0091803389677))"
20,ÇANAKKALE,ÇAN,İSTİKLAL,153183,873,1,140736846,1942.32,1942.32,1942.32,KONUT ALANI,"TAKS: 0,40, KAKS (Emsal): 0,80 ve Hmaks: 2 Kat",,7500000,,"POLYGON ((27.0731261553501 40.0403223984434, 27.0730447209331 40.0401738458893, 27.0730126516252 40.0401307723441, 27.0730330136925 40.0400692635496, 27.0739433450947 40.0402613271335, 27.0739303453851 40.0404920656986, 27.0731261553501 40.0403223984434))"
21,ÇANAKKALE,ÇAN,KARŞIYAKA,206533,553,280,140744060,393.52,393.52,393.52,TİCARET ALANI,"E:0,20 ve Hmax:1 Kat
18.Madde uygulamasına tabidir.",9000,3541680,,"POLYGON ((27.0616931691 40.0297398347218, 27.061936446676 40.0298331103897, 27.061741025584 40.0299395280498, 27.0615857655071 40.030003338151, 27.0616316758 40.0298453808827, 27.0616931691 40.0297398347218))"
22,ÇANAKKALE,ÇAN,KARŞIYAKA,206533,874,1,140744589,555.97,555.97,555.97,TİCARET ALANI,"E:0,20 ve Hmax:1 Kat
18.Madde uygulamasına tabidir.
Taşınmazın ihdası bulunmaktadır.",9000,5003730,,"POLYGON ((27.0618353915725 40.0294953203096, 27.0621050491096 40.0296440268763, 27.062104379957 40.0296664475568, 27.062016290913 40.0297607266968, 27.061975217822 40.0297775333767, 27.061726702081 40.0296821847638, 27.0618353915725 40.0294953203096))"
23,ÇANAKKALE,ÇAN,KARŞIYAKA,206533,875,1,140738932,1478.85,1478.85,1478.85,TİCARET ALANI,"E:0,20 ve Hmax:1 Kat
18.Madde uygulamasına tabidir.
Taşınmazın ihdası bulunmaktadır.",8500,12570225,,"POLYGON ((27.062069938274 40.0297862858717, 27.0621195015324 40.029742083051, 27.062169231941 40.0296818767248, 27.0624313873931 40.0298171099107, 27.0625344939299 40.0298724344247, 27.0626351011776 40.0299304145044, 27.0627330934464 40.0299909834814, 27.0628283580524 40.0300540717101, 27.0629007768004 40.0301054196868, 27.0629041324784 40.0301690595698, 27.0628252670603 40.0302348271418, 27.062792572035 40.0302390511768, 27.062077492206 40.0298190634668, 27.062069938274 40.0297862858717))"
